Name,Race,Rarity,Type,Cost,Att,Def,Text,Notes,
Temple Captain,Quadruple Radiance Empire,Rare,Unit,5,3,4,"Rejuvenation
 When this unit attacks the enemy: Summon a 2/2 Temple Garrison.",,
Temple Missionary,Quadruple Radiance Empire,Rare,Unit,5,2,5,Turn start: random enemy can't strike in this round,,
Thick Hide,Quadruple Radiance Empire,Common,Spell,5,-,-,Give target unit +1/+6 and Armor 1.,,
Kitchen Handyman,Quadruple Radiance Empire,Common,Unit,5,2,3,Turn start: Give random ally +1/+2.,,
Mutinous Warrior,Quadruple Radiance Empire,Common,Unit,5,4,1,,,
Sturdy Foreman,Quadruple Radiance Empire,Newbie's,Unit,5,3,4,,,
"Ian, Archbishop of Yang",Quadruple Radiance Empire,Legendary,Unit,6,3,6,"Rejuvenation
When you restore health: Double the heal value and this unit gains +0/+4.",,
Honor Asylum,Quadruple Radiance Empire,Epic,Spell,6,-,-,"Give all allies +1/+/1
 In this turn, give target allies: Armor 6, Hexproof",,
"Achilles, the Destroyer",Quadruple Radiance Empire,Epic,Unit,6,0,11,"Suspend, Armor 2, Synergy 5",,
Retribution Angel,Quadruple Radiance Empire,Epic,Unit,6,4,6,"Rejuvenation
 Debut: If the 1st enemy in opp. row just entered the board, destroy it.",,
Village Baron,Quadruple Radiance Empire,Rare,Unit,6,3,5,"Synergy 1
 Turn end: Summon a 2/1 Securit Guard on a random adjacent square.",,
Imperial Hammersmith,Quadruple Radiance Empire,Common,Unit,6,3,3,Debut: Give another random ally +2/+2.,,
Imperial Hammerman,Quadruple Radiance Empire,Newbie's,Unit,6,6,2,,,
Dazzling Angel Reyna,Quadruple Radiance Empire,Legendary,Unit,7,5,6,Debut: Insight 3. No enemies can attack this turn.,,
Apocalypse,Quadruple Radiance Empire,Epic,Spell,7,-,-,Destroy 5 Units on each Fist.,,
Light Paladin,Quadruple Radiance Empire,Epic,Unit,7,5,5,"Armor 2
 (Reduce physical damage to this unit by 2.)
 Debut: Restore 5 health.",,
Wall of Glory,Quadruple Radiance Empire,Epic,Unit,7,0,20,"Defender
Armor 1
Turn end: Deal 4 damage to an opponent's random area in the opposite row.",,
"Dapton, Fortress",Quadruple Radiance Empire,Legendary,Unit,8,0,24,"Defender
Armor 2
Shroud
Turn end: Deal 6 damage to an opponent's random area in the opposite row.",,
Templar Bannerman,Quadruple Radiance Empire,Epic,Unit,8,5,6,"Synergy 2 (Gain +2/+0 for every adjacent ally.)
 Debut: Give all other allies +2/+3.",,
Royal Griffin,Quadruple Radiance Empire,Epic,Unit,9,6,4,"Rejuvenation
 Debut: Summon two 3/2 Bald Griffins in the same column.",,
Loam Wall,Roughrock Weald,Common,Unit,0,0,4,Defender (Can't attack),Roughrock Weald,
Clumsy Shoebill,Roughrock Weald,Rare,Unit,1,1,3,"Suspend:(Can't strike in entering turn.)
 Hit player: Draw a card.",,
Coyote,Roughrock Weald,Common,Unit,1,2,1,,,
Roughrock Blood Lizard,Roughrock Weald,Common,Unit,1,1,1,When your restore health: This unit gains +2/+0.,,
Seal of Roughrock,Roughrock Weald,Epic,Spell,2,-,-,"Restore 3 Health.
Add Seal of Roughrock to your hand.",,
Wolf Trainer,Roughrock Weald,Epic,Unit,2,2,1,"When you restore health, summon a 2/1 Coyote",,
Fearless Hunter,Roughrock Weald,Epic,Unit,2,2,2,"Debut: Insight 1
 When this unit attacks opponent: Damato player +X (X equal to this unit's attack )",,
Distribute Arms,Roughrock Weald,Rare,Spell,2,-,-,"Give target ally +3/+1.
Give adjacent allies +1/+0.",,
Unstoppable,Roughrock Weald,Rare,Spell,2,-,-,Give target ally +2/+2 and Trample.,,
Power-charge Archer,Roughrock Weald,Rare,Unit,2,1,4,Turn end: enemy player takes damage equal to this unit's attack.,,
Roughrock Pangolin,Roughrock Weald,Rare,Unit,2,2,2,"Armor 1, when you restore health: This unit gains +1/+0, increase its Armor by 1.",,
Shaman of Madness,Roughrock Weald,Rare,Unit,2,1,3,"Increase your Mana limit by 1
Death: Deal 2 damage to your health.",,
Beartrap,Roughrock Weald,Common,Spell,2,-,-,Draw a card. Destroy the Enemy just enter on target area.,,
Haboob,Roughrock Weald,Common,Spell,2,-,-,Deal 1 damage to all units on board.,,
Mania,Roughrock Weald,Common,Spell,2,-,-,Give random ally +4/+1.,,
Potential Outburst,Roughrock Weald,Common,Spell,2,-,-,Turn end: Double the Attack and Defence of target ally.,,
Toxic Arrow,Roughrock Weald,Common,Spell,2,-,-,Deal 2 damage to Enemy on target area. Turn end:Destroy the Enemy.,,
Weapon Grinding,Roughrock Weald,Common,Spell,2,-,-,Give target Ally +2/+0. Draw a card.,,
Barbarous Savage,Roughrock Weald,Common,Unit,2,4,2,Suspend: (Can't atttack in the turn it was deployed),,
Chomper,Roughrock Weald,Common,Unit,2,0,4,Turn end: If this unit gets injuried in this round gain +2/+1,,
Desert Meerkat,Roughrock Weald,Common,Unit,2,1,1,"Turn End: If there are not other allies deployed, summon a 1/1 Desert Meerkat.",,
Fat Marmot,Roughrock Weald,Common,Unit,2,1,3,When you restore health: This unit gains +1/+1.,,
Oasis Guide,Roughrock Weald,Common,Unit,2,1,4,"Defender,
Counterattack
Death: 33% draw a card",,
Weald Shaman,Roughrock Weald,Common,Unit,2,1,2,Increase your Mana limit by 1.,,
Wild Ambusher,Roughrock Weald,Common,Unit,2,2,1,"Debut: If the first enemy in the opposite row just entered the board, gain +1/+3",,
Power Charging,Roughrock Weald,Epic,Spell,3,-,-,"Give target ally +5/+10.
 The unit can't attack in this turn.",,
Wild Sage,Roughrock Weald,Epic,Unit,3,2,2,"Debut: Insight 2
 Increase your mana limit by 2.",,
Wolf-moon Shaman,Roughrock Weald,Epic,Unit,3,3,1,"Debut: Insight 1
 Turn end: summons a 2/1 Coyote",,
Khan's Decree,Roughrock Weald,Rare,Spell,3,-,-,Give all allies +2/+0.,,
Life Bond,Roughrock Weald,Rare,Spell,3,-,-,Turn end: Heal 2 health and draw a card for each Ally on board.,,
Burrow Badger,Roughrock Weald,Rare,Unit,3,2,2,"Rejuvenation
When you restore health: This unit gains +1/+1",,
Life Guardian,Roughrock Weald,Rare,Unit,3,2,5,"Defender, Counterattack
Turn end: your health +1",,
Swift Spearman,Roughrock Weald,Rare,Unit,3,2,3,"When this unit attacks opponent: Insight 1
Deal 2 damage to a random enemy",,
Thick-Skinned Hippo,Roughrock Weald,Rare,Unit,3,3,8,"Debut: Insight 1, Suspend (Can't attack in the turn it was summoned)",,
Bull's Strength,Roughrock Weald,Common,Spell,3,-,-,Give target ally +2/+3.,,
Rain of Pebbles,Roughrock Weald,Common,Spell,3,-,-,"Insight 2
Deal 2 damage to enemies in target row.",,
Throwing Stone,Roughrock Weald,Common,Spell,3,-,-,Deal 5 crash damage to a random area in opposite row,,
Gluttonous Night Owl,Roughrock Weald,Common,Unit,3,2,3,"Debut: Insight 1
When you restore health: Gain +1/+1.",,
Deadly Grass,Roughrock Weald,Common,Unit,3,0,6,Turn end: When this unit gets injured: Deal 2 damage to 1 enemy,,
Excited Scarecrow,Roughrock Weald,Common,Unit,3,0,5,Turn start: if the first enemy in target row just entered draw a card,,
Nocturnal Huntsman,Roughrock Weald,Common,Unit,3,3,2,"When this unit attacks the enemy: Insight 1
If there are no other allies deployed, deal 1 damaget to a random enemy.",,
Noisy Dancer,Roughrock Weald,Common,Unit,3,2,1,Debut: Give random adjacent ally +2/+0.,,
Pathfinder,Roughrock Weald,Common,Unit,3,3,1,"Debut:Insight 1. If there's no enemy in the opposite row, draw a card.",,
Roughrock Warrior,Roughrock Weald,Common,Unit,3,2,4,,,
Short-haired Boar Cub,Roughrock Weald,Common,Unit,3,2,2,Death: Restore 2 health.,,
Totem of Motivation,Roughrock Weald,Common,Unit,3,0,4,Turn start: Give random adjacent ally +1/+0.,,
Weald Warrior,Roughrock Weald,Common,Unit,3,2,3,"Turn end: If this unit is injured in this turn, gain +2/+1.",,
Wild Breadfruit,Roughrock Weald,Common,Unit,3,0,5,"Defender 
Increase your mana limit by 1",,
Bill & Billy,Roughrock Weald,Legendary,Unit,4,7,7,"Trample
 50% chance of not attacking.",,
Hungry Hulk,Roughrock Weald,Epic,Unit,4,4,7,"Suspend
When you restore health: Gain +3/+3.",,
Axe Zealot,Roughrock Weald,Epic,Unit,4,2,5,Pre-strike: Deal X damage to a random area in the opposite row (Where X is this unit's attack).,,
Farseer Witch,Roughrock Weald,Epic,Unit,4,3,2,"Debut: For each enemy in the opposite row, draw a card.",,
Ivory Maiden,Roughrock Weald,Epic,Unit,4,0,1,Turn end: Summon a 4/6 Mammoth.,,
Prime Flamen,Roughrock Weald,Epic,Unit,4,4,4,"Turn end: Give random ally+X/+X
(X is equal to remaining Mana)",,
Threatening Warrior,Roughrock Weald,Rare,Unit,4,3,4,"Debut: If the first enemy in the opposite row just entered, they cannot attack and gain +1/+1. ",,
Cull,Roughrock Weald,Rare,Spell,4,-,-,"Destroy unit on target square, restore X Health. (X equal to the unit's cost in the square)",,
Prairie Fire,Roughrock Weald,Rare,Spell,4,-,-,Turn end: Deal 3 damage to all units on the board.,,
Prime of Life,Roughrock Weald,Rare,Spell,4,-,-,"Give target Ally +4/+4.
Restore 4 Health.",,
Behemoth Hunter,Roughrock Weald,Rare,Unit,4,3,5,Debut: Restore 2 health.,,
Blood Lizard Scout,Roughrock Weald,Rare,Unit,4,4,2,When you restore health: Deal 2 damage to a random enemy.,,
Bright Breadfruit,Roughrock Weald,Rare,Unit,4,0,4,"Defender 
Increase your Mana limit by 2",,
Excited Wildling,Roughrock Weald,Rare,Unit,4,3,3,Turn end: if this unit gets injured in this round gain +3/+3 and Trample,,
Provision Scout,Roughrock Weald,Rare,Unit,4,3,3,When this unit attacks the enemy: Give another random ally +2/+2.,,
Wild Paean Singer,Roughrock Weald,Rare,Unit,4,2,3,Turn start: Give another random ally +2/+0.,,
Sand Cyclone,Roughrock Weald,Common,Spell,4,-,-,Deal 3 damage randomly split among all enemies,,
Blunt Yak,Roughrock Weald,Common,Unit,4,4,4,Suspend: (Can't attack in the turn it was deployed) Turn end: Gain +0/+2.,,
Solus Lion,Roughrock Weald,Common,Unit,4,4,2,"Pre-strike: If there are no toher allies deployed, gain +1/+0.",,
Wild Warrior,Roughrock Weald,Common,Unit,4,4,3,,,
"Blood Axe, Kay",Roughrock Weald,Legendary,Unit,5,4,4,"Trample
Turn start: Give all other allies Rejuvenation for 1 turn.
When you restore health: gain +1/+1.",,
Axe Lady,Roughrock Weald,Epic,Unit,5,3,3,Turn start & Pre-strike: Deal 2 damage to random area in the opposing row.,,
Chief Bigmouth,Roughrock Weald,Epic,Unit,5,5,4,Turn End: Summon a 1/1 Roughrock Blood Lizard.,,
Zax Commander,Roughrock Weald,Epic,Unit,5,3,5,"Trample
Debut: Give random adjacent ally +1/+1 and Trample.",,
Ancient Rock,Roughrock Weald,Rare,Spell,5,-,-,Deal 8 crash damage to a random area in opposite row.,,
Elite Scout,Roughrock Weald,Rare,Unit,5,4,4,"Hit Player: Insight 1, Draw a card.",,
Totem of Madness,Roughrock Weald,Rare,Unit,5,0,7,Turn start: Give all other allies +1/+0.,,
Wandering Barbarian,Roughrock Weald,Rare,Unit,5,4,5,Debut: For each enemy in the opposite row gain +1/+1,,
Rockfall,Roughrock Weald,Common,Spell,5,-,-,Deal 4 damage to an enemy on target square and 1 damage to adjacent enemies.,,
Savage Growth,Roughrock Weald,Common,Spell,5,-,-,"Give target Unit +3/+3.
 Draw a card.",,
Aggressive Buffalo,Roughrock Weald,Common,Unit,5,5,3,,,
Red Bristle Boar,Roughrock Weald,Common,Unit,5,3,3,Death: Restore 3 health.,,
Regenerative Ogre,Roughrock Weald,Common,Unit,5,3,4,"Turn end: If this unit is injured in this turn, gain +1/+2.",,
Scavenger Vulture,Roughrock Weald,Common,Unit,5,4,1,"Debut: Insight 1 (Expose 1 card in enemy player's hand)
Death: Draw a card.",,
Wild Berserker,Roughrock Weald,Common,Unit,5,4,4,Trample,,
Ancient Earthshaker,Roughrock Weald,Legendary,Unit,6,15,15,"Double strike, Shroud, Suspend
 Reduce your Mana limit by 9.",,
Blade of the Tyrant,Roughrock Weald,Epic,Spell,6,-,-,"Give target ally +3/+6 and Double strike.
Give all other allies -1/-1.",,
Fearless Warrior,Roughrock Weald,Epic,Unit,6,4,4,"Trample 
Debut: Gain +2/+0 for every enemy in the opposing row.",,
Roughrock Cyclops,Roughrock Weald,Epic,Unit,6,6,6,"Suspend
 Pre-strike: Deal 4 damage to a random unit.",,
Monolith Giant,Roughrock Weald,Rare,Unit,6,2,25,Suspend: (Can't attack in the turn it was deployed),,
Weald Minotaur,Roughrock Weald,Rare,Unit,6,5,5,"Turn end: If this unit is injured in this turn, gain +1/+3.",,
Mammoth,Roughrock Weald,Common,Unit,6,4,6,,,
"Ruma, Master Shaman",Roughrock Weald,Legendary,Unit,7,3,9,Turn End: Give another ally +5/+5 and Trample. ,,
Golden Bristle King,Roughrock Weald,Epic,Unit,7,4,4,"Debut: Summon a 3/3 Bristle Boar.
Death Restore 4 health.",,
Wake of Force,Roughrock Weald,Rare,Spell,7,-,-,Give target unit +8/+8.,,
Sleeping Behemoth,Roughrock Weald,Rare,Unit,7,9,12,Suspend,,
Fatheaded Cyclops,Roughrock Weald,Common,Unit,7,4,7,Turn end: If this unit is injured this turn deal 4 damage to random area in opposite row.,,
Savage Rhino,Roughrock Weald,Common,Unit,7,5,6,Death: Restore 6 health.,,
"Bloodeye, Tyrant",Roughrock Weald,Legendary,Unit,8,5,8,"Double strike
Trample
Debut: Deal 5 damage to two random units.",,
Hungry White Dragon,Roughrock Weald,Epic,Unit,8,6,12,When you gain health: Deal 2 damage to all enemy units.,,
Hesitant Giant,Roughrock Weald,Common,Unit,8,8,8,Pre-strike: Can't attack if there is no ally on an adjacent square.,,
Solar Dragon,Roughrock Weald,Legendary,Unit,9,10,10,Pre-strike: Deal 5 damage to all enemies in the opposing row.,,
Call of the Wild,Roughrock Weald,Epic,Spell,9,-,-,Summon three 4/6 Mammoths in target column.,,
Rage Predator,Roughrock Weald,Rare,Unit,9,9,6,Trample,,
Falling Fire,Inferno,Rare,Spell,1,-,-,"Deal 2 Crash damage to target square. If you have no cards, deal 4 crash damage. ",Inferno,
Thunderbolt,Inferno,Rare,Spell,1,-,-,Deal 3 Crash damage to target square.,,
Stygian Guard,Inferno,Rare,Unit,1,2,2,"When any player uses Charge, deal 2 damage to that player.",,
Fireball,Inferno,Common,Spell,1,-,-,"Deal 2 damage to the first enemy in target row.
 If there's no unit, enemy player takes the damage.",,
Mask of Madness,Inferno,Common,Spell,1,-,-,Give target unit +4/-1,,
Endless Bloodshade,Inferno,Legendary,Unit,2,3,1,"Debut: Deal 2 damage to your Health, add Endless Bloodshade to your hand.",,
Hell Recruit,Inferno,Epic,Spell,2,-,-,Turn End: Summon 3 Infernal Dretches 1/1,,
Seal of Inferno,Inferno,Epic,Spell,2,-,-,"Deal 1 Crash damage to target area.
 Add Seal of Inferno into your hand.",,
Skullcrusher,Inferno,Epic,Unit,2,3,4,"Trample
 Debut: You take 4 health damage.",,
Fire Charge,Inferno,Rare,Spell,2,-,-,Deal 2 Crash damage to target square. Give random ally +2/+-0,,
Fireball,Inferno,Rare,Spell,2,-,-,"Deal 4 damage to the first enemy in target row.
 If there's no unit, enemy player takes the damage.",,
Poisonous Eye of Sorcery,Inferno,Rare,Spell,2,2,2,Pre-strike: Deal 2 damage to the opponent for every spell cast this turn. ,,
Parasite Bite,Inferno,Rare,Spell,2,-,-,"Turne end: Destroy an enemy on target square, summon a 1/1 Infernal Biter.",,
Parasitic Seed,Inferno,Rare,Spell,2,-,-,Turn End: enemy Player summons a 0/2 Parasitic Seed.,,
Evil Eye,Inferno,Rare,Unit,2,1,1,Debut: enemy player discards a card.,,
Hook of Atrocity,Inferno,Rare,Unit,2,3,2,Hit opponent: Deal 1 damage to both players.,,
Bloodlust,Inferno,Common,Spell,2,-,-,Double the Attack of target ally.,,
Soul Burning,Inferno,Common,Spell,2,-,-,"Deal 4 damage to an enemy on target square. If you have no cards, destroy the enemy instead.",,
Blazing Devil,Inferno,Common,Unit,2,2,2,Debut: Deal 1 damage to the first enemy in the opposing row.,,
Bloodlust Soldier,Inferno,Common,Unit,2,1,2,When this unit attacks the enemy: Gain +2/+0,,
Chaotic Imp,Inferno,Common,Unit,2,2,1,Debut: Deal 2 damage to both players.,,
Hell Reaper,Inferno,Common,Unit,2,3,1,"Turn Start: If you have no cards in your hand, this unit gains +2/+0",,
Infernal Biter,Inferno,Common,Unit,2,1,1,Double strike,,
Scarlet Minion,Inferno,Common,Unit,2,1,2,Death: enemy player takes damage. (Equal to this unit's attack.),,
Lava Ball,Inferno,Epic,Spell,3,-,-,"Deal 6 damage to the first enemy in target row.
 If there's no unit, enemy player takes the damage.",,
Fire Conjurer,Inferno,Epic,Unit,3,2,2,"Hit opponent: Add fireball to your hand. 
Turn end: Add fireball to your hand. ",,
Flaming Ironarm,Inferno,Epic,Unit,3,5,5,Debut: Discard all cards in your hand. Deal 2 damage to the enemy player for every card you discarded.,,
Hellplate Revenant,Inferno,Epic,Unit,3,2,1,"Armor 5
 (Reduce physical damage to this unit by 5.)",,
Reaper of Despair,Inferno,Epic,Unit,3,3,3,"Players can't restore health. 
Pre-strike: If you have no cards in your hand, this unit gains +1/+1.",,
Unholy Transition,Inferno,Rare,Spell,3,-,-,"Destroy an enemy on target square. If you have no cards, summon a 1/1 Infernal Dretch.",,
Wrath of Insanity,Inferno,Rare,Spell,3,-,-,"Give target ally +2/+0. For every enemy on the board, target gains +1/+1",,
Hellhound,Inferno,Rare,Unit,3,2,3,Double strike,,
Howling Fiend,Inferno,Rare,Unit,3,2,1,When this unit attacks the enemy: enemy player discards a card.,,
Pool of Grime,Inferno,Rare,Unit,3,0,6,"Defender
 Turn End: Deal 2 damage to your health, draw a card.",,
Scarlet Warrior,Inferno,Rare,Unit,3,3,2,Death: enemy player takes damage. (Equal to this unit's attack.),,
Screwy Skaab,Inferno,Rare,Unit,3,2,3,"Pre-strike: If there's no enemy in the opposing row, gain +2/+0",,
